Cave_id,cave_names_list,Country,Latitude,Longitude,species_count,threatened_rate,species_name_list,cave_id_list,species_id_list,record_id_list
1,Tongaat,South Africa,-29.55556,31.13333,1,0.0,Otomops martiensseni,Dataset_3_001,Dataset_1_454,Dataset_2_002
2,Ballito,South Africa,-29.53333,31.21667,1,0.0,Otomops martiensseni,Dataset_3_600,Dataset_1_454,Dataset_2_003
3,PNTB,Madagascar,-19.11667,44.93333,6,0.0,Miniopterus gleni; Myotis goudoti; Emballonura sp.; Otomops madagascariensis; Triaenops rufus; Rousettus madagascariensis,Dataset_3_1671,Dataset_1_270; Dataset_1_453; Dataset_1_665; Dataset_1_627,Dataset_2_004; Dataset_2_005; Dataset_2_006; Dataset_2_007; Dataset_2_008; Dataset_2_009
4,Anjohikinakina cave,Madagascar,-19.00983,44.76767,1,0.0,Otomops madagascariensis,Dataset_3_002,Dataset_1_453,Dataset_2_010
5,Namaza canyon,Madagascar,-22.54,45.38,1,0.0,Otomops madagascariensis,Dataset_3_003,Dataset_1_453,Dataset_2_011
6,Watamu,Kenya,-3.35122,40.01528,1,0.0,Rousettus aegyptiacus,Dataset_3_004,,Dataset_2_012
7,Pangayambo; Pangayambo cave,Kenya,-3.32241,40.02377,1,0.0,Cardioderma cor,Dataset_3_601; Dataset_3_873,Dataset_1_040,Dataset_2_013; Dataset_2_5333
8,Kaboga; Kaboga Cave,Kenya,-3.33451,40.03076,9,0.111,Coleura afra; Macronycteris vittatus; Triaenops afer; Miniopterus africanus; Miniopterus minor; Taphozous hildegardeae; Rousettus aegyptiacus; Hipposideros caffer; Miniopterus sp.,Dataset_3_602; Dataset_3_874,Dataset_1_073; Dataset_1_662; Dataset_1_264; Dataset_1_279; Dataset_1_650; Dataset_1_149,Dataset_2_014; Dataset_2_015; Dataset_2_016; Dataset_2_017; Dataset_2_018; Dataset_2_019; Dataset_2_5334; Dataset_2_5335; Dataset_2_5336; Dataset_2_5337; Dataset_2_5338
9,Makuruhu; Makuruhu Cave,Kenya,-3.32319,40.04153,8,0.125,Coleura afra; Hipposideros caffer; Triaenops afer; Miniopterus africanus; Miniopterus minor; Taphozous hildegardeae; Cardioderma cor; Miniopterus sp.,Dataset_3_1167; Dataset_3_1241,Dataset_1_073; Dataset_1_149; Dataset_1_662; Dataset_1_264; Dataset_1_279; Dataset_1_650; Dataset_1_040,Dataset_2_020; Dataset_2_021; Dataset_2_022; Dataset_2_023; Dataset_2_024; Dataset_2_025; Dataset_2_5339; Dataset_2_5340; Dataset_2_5341; Dataset_2_5342; Dataset_2_5343
10,Tam Nam 2; Tam Der Som,Laos DPR,18.03333,104.4,3,0.0,Hipposideros armiger; Aselliscus stoliczkanus; Rhinolophus subbadius,Dataset_3_603; Dataset_3_604,Dataset_1_144; Dataset_1_027; Dataset_1_605,Dataset_2_026; Dataset_2_027; Dataset_2_028; Dataset_2_029
11,Tam Pha Tok,Laos DPR,18.03333,104.41667,6,0.0,Megaerops niphanae; Hypsugo pulveratus; Ia io; Lyroderma lyra; Rousettus amplexicaudatus; Rhinolophus macrotis,Dataset_3_979,Dataset_1_253; Dataset_1_208; Dataset_1_210; Dataset_1_243; Dataset_1_623; Dataset_1_570,Dataset_2_030; Dataset_2_031; Dataset_2_032; Dataset_2_033; Dataset_2_034; Dataset_2_035
12,Tam En,Laos DPR,18.02778,104.43056,5,0.0,Eonycteris spelaea; Myotis siligorensis; Hipposideros armiger; Hipposideros diadema; Rousettus amplexicaudatus,Dataset_3_1061,Dataset_1_112; Dataset_1_403; Dataset_1_144; Dataset_1_158; Dataset_1_623,Dataset_2_036; Dataset_2_037; Dataset_2_038; Dataset_2_039; Dataset_2_040
13,Tam Nong Seng,Laos DPR,18.08889,104.47639,2,0.0,Hipposideros armiger; Rhinolophus luctus,Dataset_3_605,Dataset_1_144; Dataset_1_568,Dataset_2_041; Dataset_2_042
14,Tam Kokhair,Laos DPR,18.07361,104.47778,2,0.0,Hipposideros diadema; Myotis siligorensis,Dataset_3_005,Dataset_1_158; Dataset_1_403,Dataset_2_043; Dataset_2_044
15,Ban Kenghot,Laos DPR,18.07083,104.49028,3,0.0,Cynopterus sphinx; Aselliscus stoliczkanus; Rhinolophus malayanus,Dataset_3_606,Dataset_1_027; Dataset_1_573,Dataset_2_045; Dataset_2_046; Dataset_2_047
16,Nam Hinboun Camp,Laos DPR,18.04722,104.51583,1,0.0,Hipposideros larvatus,Dataset_3_1247,Dataset_1_176,Dataset_2_048
17,Tam Thea,Laos DPR,18.14833,104.51583,4,0.0,Eonycteris spelaea; Hipposideros larvatus; Rousettus amplexicaudatus; Taphozous theobaldi,Dataset_3_607,Dataset_1_112; Dataset_1_176; Dataset_1_623; Dataset_1_656,Dataset_2_049; Dataset_2_050; Dataset_2_051; Dataset_2_052
18,Tam Pha Muang,Laos DPR,18.00833,104.68056,1,0.0,Hipposideros larvatus,Dataset_3_006,Dataset_1_176,Dataset_2_053
19,Tam Ama,Laos DPR,17.70833,104.79722,1,0.0,Chaerephon plicatus,Dataset_3_980,Dataset_1_052,Dataset_2_054; Dataset_2_055
20,Tam Lort; Tam Lom,Laos DPR,17.5875,104.8125,2,0.0,Hipposideros pomona; Rhinolophus luctus,Dataset_3_007; Dataset_3_008,Dataset_1_188; Dataset_1_568,Dataset_2_056; Dataset_2_057
21,Tam Jingjunchott,Laos DPR,17.55417,104.81944,4,0.0,Hipposideros pomona; Hipposideros larvatus; Aselliscus stoliczkanus; Rhinolophus pusillus,Dataset_3_009,Dataset_1_188; Dataset_1_176; Dataset_1_027; Dataset_1_589,Dataset_2_058; Dataset_2_059; Dataset_2_060; Dataset_2_061
22,Tom Quaie,Laos DPR,17.55417,104.825,3,0.0,Hipposideros armiger; Myotis siligorensis; Rhinolophus thomasi,Dataset_3_010,Dataset_1_144; Dataset_1_403; Dataset_1_608,Dataset_2_062; Dataset_2_063; Dataset_2_064
23,"Ban Pontong, Mauang",Laos DPR,17.57778,104.825,8,0.0,Cynopterus sphinx; Eonycteris spelaea; Hesperoptenus blanfordi; Megaderma spasma; Miniopterus magnater; Kerivoula hardwickii; Rhinolophus malayanus; Rhinolophus thomasi,Dataset_3_011,Dataset_1_112; Dataset_1_141; Dataset_1_252; Dataset_1_275; Dataset_1_212; Dataset_1_573; Dataset_1_608,Dataset_2_065; Dataset_2_066; Dataset_2_067; Dataset_2_068; Dataset_2_069; Dataset_2_070; Dataset_2_071; Dataset_2_072
24,Thakhek District,Laos DPR,17.55694,104.82639,1,0.0,Kerivoula hardwickii,Dataset_3_012,Dataset_1_212,Dataset_2_073
25,Tam Pha Deng,Laos DPR,17.55694,104.82778,1,0.0,Rhinolophus thomasi,Dataset_3_013,Dataset_1_608,Dataset_2_074
26,Tam Nam Phae,Laos DPR,17.55972,104.82917,1,0.0,Hipposideros pomona,Dataset_3_014,Dataset_1_188,Dataset_2_075
27,Tam Khun Fart 1,Laos DPR,17.58056,104.82917,1,0.0,Rhinolophus thomasi,Dataset_3_015,Dataset_1_608,Dataset_2_076
28,Tam Sumpoy,Laos DPR,17.54861,104.83611,4,0.0,Cynopterus sphinx; Hypsugo pulveratus; Hipposideros armiger; Rhinolophus thomasi,Dataset_3_016,Dataset_1_208; Dataset_1_144; Dataset_1_608,Dataset_2_077; Dataset_2_078; Dataset_2_079; Dataset_2_080
29,Tam jungvung,Laos DPR,17.56111,104.8375,7,0.0,Hipposideros pomona; Eonycteris spelaea; Lyroderma lyra; Hipposideros diadema; Aselliscus stoliczkanus; Hipposideros larvatus; Rousettus leschenaultii,Dataset_3_608,Dataset_1_188; Dataset_1_112; Dataset_1_243; Dataset_1_158; Dataset_1_027; Dataset_1_176; Dataset_1_626,Dataset_2_081; Dataset_2_082; Dataset_2_083; Dataset_2_084; Dataset_2_085; Dataset_2_086; Dataset_2_087
30,Tam Gunhom,Laos DPR,17.56389,104.84306,1,0.0,Hipposideros diadema,Dataset_3_609,Dataset_1_158,Dataset_2_088
